"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","new.ident","integrated_snn_res.0.8","seurat_clusters"
"cell_570_1","cell",10412,3942,0.211294660007683,"t1","4","4"
"cell_571_1","cell",10381,4097,0.394952316732492,"t1","2","2"
"cell_572_1","cell",10378,4037,0.0963576797070727,"t1","12","12"
"cell_573_1","cell",10380,3973,0.240847784200385,"t1","4","4"
"cell_574_1","cell",10374,4092,0.462695199537305,"t1","3","3"
"cell_575_1","cell",10368,4419,0.337577160493827,"t1","5","5"
"cell_576_1","cell",10364,3664,0.125434195291393,"t1","1","1"
"cell_577_1","cell",10359,3713,0.0868809730668983,"t1","1","1"
"cell_578_1","cell",10356,4056,0.308999613750483,"t1","5","5"
"cell_579_1","cell",10339,3831,0.493277879872328,"t1","1","1"
"cell_580_1","cell",10327,3818,0.464801007068849,"t1","1","1"
"cell_581_1","cell",10328,3937,0.910147172734315,"t1","3","3"
"cell_582_1","cell",10307,3465,0.232851460172698,"t1","1","1"
"cell_583_1","cell",10303,3837,0.165000485295545,"t1","1","1"
"cell_584_1","cell",10292,3963,1.05907500971628,"t1","2","2"
"cell_585_1","cell",10279,3429,0.136200019457146,"t1","4","4"
"cell_586_1","cell",10277,3926,0.875741948039311,"t1","1","1"
"cell_587_1","cell",10275,3497,0.282238442822384,"t1","4","4"
"cell_588_1","cell",10251,4038,0.234123500146327,"t1","4","4"
"cell_589_1","cell",10244,3758,0.224521671222179,"t1","1","1"
"cell_590_1","cell",10240,3996,0.283203125,"t1","1","1"
"cell_591_1","cell",10216,4253,0.117462803445576,"t1","14","14"
"cell_592_1","cell",10213,3715,0.225203172427299,"t1","4","4"
"cell_593_1","cell",10209,3957,0.35263003232442,"t1","1","1"
"cell_594_1","cell",10204,3957,0.323402587220698,"t1","4","4"
"cell_595_1","cell",10201,3839,0.0686207234584845,"t1","1","1"
"cell_596_1","cell",10187,3803,0.0490821635417689,"t1","1","1"
"cell_597_1","cell",10177,4178,0.451999606956863,"t1","2","2"
"cell_598_1","cell",10176,4221,1.46422955974843,"t1","5","5"
"cell_599_1","cell",10151,3712,1.39887695793518,"t1","1","1"
"cell_600_1","cell",10147,3633,0.808120626786242,"t1","1","1"
"cell_601_1","cell",10140,4239,0.404339250493097,"t1","1","1"
"cell_602_1","cell",10133,4242,0.621730977992697,"t1","2","2"
"cell_603_1","cell",10123,3871,0.17781290131384,"t1","1","1"
"cell_604_1","cell",10126,4084,0.187635789057871,"t1","9","9"
"cell_605_1","cell",10118,4341,1.22553864400079,"t1","2","2"
"cell_606_1","cell",10117,4111,0.217455767520016,"t1","9","9"
"cell_607_1","cell",10108,3492,0.257222002374357,"t1","1","1"
"cell_608_1","cell",10100,3832,0.297029702970297,"t1","9","9"
"cell_609_1","cell",10093,4100,0.515208560388388,"t1","13","13"
"cell_610_1","cell",10092,3991,0.515259611573524,"t1","1","1"
"cell_611_1","cell",10096,3220,0.980586370839937,"t1","7","7"
"cell_612_1","cell",10072,4316,0.575853852263701,"t1","7","7"
"cell_613_1","cell",10064,3316,0.0993640699523052,"t1","3","3"
"cell_614_1","cell",10044,3963,1.08522500995619,"t1","1","1"
"cell_615_1","cell",10039,3768,0.17930072716406,"t1","9","9"
"cell_616_1","cell",10031,3693,0.0199381916060213,"t1","4","4"
"cell_617_1","cell",10031,2826,0.029907287409032,"t1","4","4"
"cell_618_1","cell",10017,3970,0.349406009783368,"t1","1","1"
"cell_619_1","cell",10012,3574,0.269676388333999,"t1","1","1"
"cell_620_1","cell",9995,3886,0.760380190095048,"t1","5","5"
"cell_621_1","cell",10004,3764,0.119952019192323,"t1","4","4"
"cell_622_1","cell",9993,3850,0.160112078454918,"t1","9","9"
"cell_623_1","cell",9981,3967,0.951808436028454,"t1","1","1"
"cell_624_1","cell",9974,3737,0.120312813314618,"t1","4","4"
"cell_625_1","cell",9954,4018,0.663050030138638,"t1","12","12"
"cell_626_1","cell",9959,3899,0.180741038256853,"t1","9","9"
"cell_627_1","cell",9955,4035,0.773480662983425,"t1","1","1"
"cell_628_1","cell",9956,3869,0.170751305745279,"t1","7","7"
"cell_629_1","cell",9943,4018,0.0804586141003721,"t1","4","4"
"cell_630_1","cell",9927,3593,0.392867935932306,"t1","1","1"
"cell_631_1","cell",9922,4031,0.806289054626083,"t1","2","2"
"cell_632_1","cell",9917,3719,0.393264091963295,"t1","1","1"
"cell_633_1","cell",9914,3438,0.463990316723825,"t1","1","1"
"cell_634_1","cell",9916,3740,0.0201694231544978,"t1","6","6"
"cell_635_1","cell",9909,3922,0.131193864163891,"t1","1","1"
"cell_636_1","cell",9909,3390,0.100918357049147,"t1","4","4"
"cell_637_1","cell",9903,3904,0.0605877006967586,"t1","1","1"
"cell_638_1","cell",9877,3771,0.779588944011339,"t1","12","12"
"cell_639_1","cell",9881,3762,0.151806497318085,"t1","12","12"
"cell_640_1","cell",9873,3886,0.253215841183024,"t1","3","3"
"cell_641_1","cell",9867,3573,0.0709435492044188,"t1","1","1"
"cell_642_1","cell",9865,3697,0.20273694880892,"t1","1","1"
"cell_643_1","cell",9864,3864,0.32441200324412,"t1","2","2"
"cell_644_1","cell",9865,3500,0.354789660415611,"t1","14","14"
"cell_645_1","cell",9862,3917,0.253498276211722,"t1","2","2"
"cell_646_1","cell",9855,4180,1.13647894469812,"t1","2","2"
"cell_647_1","cell",9856,3897,1.20738636363636,"t1","7","7"
"cell_648_1","cell",9808,4398,1.02977161500816,"t1","2","2"
"cell_649_1","cell",9811,3908,0.417898277443686,"t1","4","4"
"cell_650_1","cell",9800,3794,0.510204081632653,"t1","13","13"
"cell_651_1","cell",9794,4351,0.827036961404942,"t1","5","5"
"cell_652_1","cell",9789,3567,0.909183777709674,"t1","1","1"
"cell_653_1","cell",9759,3696,0.13321036991495,"t1","1","1"
"cell_654_1","cell",9758,4064,1.11703217872515,"t1","3","3"
"cell_655_1","cell",9746,3829,0.246254873794377,"t1","9","9"
"cell_656_1","cell",9736,3725,0.164338537387017,"t1","1","1"
"cell_657_1","cell",9732,3541,0.400739827373613,"t1","0","0"
"cell_658_1","cell",9708,4202,1.25669550885867,"t1","7","7"
"cell_659_1","cell",9708,4157,0.669550885867326,"t1","2","2"
"cell_660_1","cell",9692,3641,0.123813454395378,"t1","1","1"
"cell_661_1","cell",9688,3990,0.258051197357556,"t1","1","1"
"cell_662_1","cell",9671,4018,1.18912211767139,"t1","1","1"
"cell_663_1","cell",9659,4073,1.44942540635677,"t1","1","1"
"cell_664_1","cell",9664,4125,0.569122516556291,"t1","5","5"
"cell_665_1","cell",9661,3757,0.238070593106304,"t1","13","13"
"cell_666_1","cell",9632,4068,0.228405315614618,"t1","4","4"
"cell_667_1","cell",9638,3955,0.290516704710521,"t1","7","7"
"cell_668_1","cell",9638,4210,0.60178460261465,"t1","1","1"
"cell_669_1","cell",9635,3596,0.0934094447327452,"t1","9","9"
"cell_670_1","cell",9626,3927,1.07001869935591,"t1","7","7"
"cell_671_1","cell",9628,3846,0.114250103863731,"t1","6","6"
"cell_672_1","cell",9621,3896,0.176696809063507,"t1","12","12"
"cell_673_1","cell",9610,3952,0.478668054110302,"t1","2","2"
"cell_674_1","cell",9608,3987,0.56203164029975,"t1","2","2"
"cell_675_1","cell",9608,3930,0.135303913405495,"t1","2","2"
"cell_676_1","cell",9596,4106,0.416840350145894,"t1","1","1"
"cell_677_1","cell",9590,3830,0.886339937434828,"t1","4","4"
"cell_678_1","cell",9589,3334,0.385858796537699,"t1","4","4"
"cell_679_1","cell",9591,4151,0.959232613908873,"t1","2","2"
"cell_680_1","cell",9568,3730,0.543478260869565,"t1","2","2"
"cell_681_1","cell",9549,3664,0.429364331343596,"t1","1","1"
"cell_682_1","cell",9549,3759,0.324641323698817,"t1","4","4"
"cell_683_1","cell",9543,3635,0.0838310803730483,"t1","4","4"
"cell_684_1","cell",9531,3773,0.136397020249711,"t1","9","9"
"cell_685_1","cell",9496,3914,0.368576242628475,"t1","4","4"
"cell_686_1","cell",9508,3943,1.3672696676483,"t1","8","8"
"cell_687_1","cell",9502,3753,0.22100610397811,"t1","9","9"
"cell_688_1","cell",9499,4023,0.126329087272344,"t1","1","1"
"cell_689_1","cell",9488,4053,0.453204047217538,"t1","2","2"
"cell_690_1","cell",9481,3761,0.833245438244911,"t1","2","2"
"cell_691_1","cell",9479,3740,0.390336533389598,"t1","2","2"
"cell_692_1","cell",9476,3483,0.116082735331363,"t1","1","1"
"cell_693_1","cell",9475,3853,0.0738786279683377,"t1","1","1"
"cell_694_1","cell",9470,3671,0.30623020063358,"t1","4","4"
"cell_695_1","cell",9466,3871,0.147897739277414,"t1","1","1"
"cell_696_1","cell",9464,3520,0.707945900253592,"t1","4","4"
"cell_697_1","cell",9462,3722,0.274783343901923,"t1","2","2"
"cell_698_1","cell",9453,3494,0.190415741034592,"t1","4","4"
"cell_699_1","cell",9448,4051,0.825571549534293,"t1","2","2"
"cell_700_1","cell",9450,3768,1.68253968253968,"t1","1","1"
"cell_701_1","cell",9440,4278,0.275423728813559,"t1","0","0"
"cell_702_1","cell",9437,3925,0.116562466885663,"t1","1","1"
"cell_703_1","cell",9418,4016,0.339774899129327,"t1","1","1"
"cell_704_1","cell",9413,4274,1.20046743864868,"t1","2","2"
"cell_705_1","cell",9407,4025,0.223238014244711,"t1","4","4"
"cell_706_1","cell",9395,3812,2.68227780734433,"t1","1","1"
"cell_707_1","cell",9394,3771,0.659995741962955,"t1","9","9"
"cell_708_1","cell",9393,3945,0.734589587991057,"t1","6","6"
"cell_709_1","cell",9376,3661,0.661262798634812,"t1","1","1"
"cell_710_1","cell",9367,3738,0.234867086580549,"t1","9","9"
"cell_711_1","cell",9368,3744,0.202818104184458,"t1","2","2"
"cell_712_1","cell",9350,3847,0.620320855614973,"t1","4","4"
"cell_713_1","cell",9336,4081,1.21036846615253,"t1","2","2"
"cell_714_1","cell",9320,4086,0.729613733905579,"t1","3","3"
"cell_715_1","cell",9301,3439,0.193527577679819,"t1","4","4"
"cell_716_1","cell",9304,3671,0.429922613929493,"t1","1","1"
"cell_717_1","cell",9294,3870,0.312029266193243,"t1","12","12"
"cell_718_1","cell",9298,3818,0.322650032265003,"t1","2","2"
"cell_719_1","cell",9282,3530,0.0430941607412196,"t1","4","4"
"cell_720_1","cell",9270,3680,0.388349514563107,"t1","9","9"
"cell_721_1","cell",9273,3933,0.0754879758438477,"t1","0","0"
"cell_722_1","cell",9251,3868,0.605339963247217,"t1","7","7"
"cell_723_1","cell",9247,3471,0.205472044987564,"t1","4","4"
"cell_724_1","cell",9235,3846,0.0649702219815918,"t1","9","9"
"cell_725_1","cell",9228,4022,2.55743389683572,"t1","5","5"
"cell_726_1","cell",9228,3782,0.411790203727785,"t1","9","9"
"cell_727_1","cell",9224,3834,0.552905464006938,"t1","9","9"
"cell_728_1","cell",9219,3608,4.2629352424341,"t1","5","5"
"cell_729_1","cell",9222,3723,0.0650618087182824,"t1","1","1"
"cell_730_1","cell",9220,3741,0.835140997830803,"t1","1","1"
"cell_731_1","cell",9218,3410,0.27120850509872,"t1","4","4"
"cell_732_1","cell",9204,3762,0.130378096479791,"t1","1","1"
"cell_733_1","cell",9199,4159,0.673986302859006,"t1","8","8"
"cell_734_1","cell",9186,3698,0.56607881558894,"t1","2","2"
"cell_735_1","cell",9179,3866,0.141627628281948,"t1","1","1"
"cell_736_1","cell",9177,4192,0.817260542661,"t1","2","2"
"cell_737_1","cell",9173,3738,0.228932737381446,"t1","8","8"
"cell_738_1","cell",9169,4024,0.501690478787218,"t1","2","2"
"cell_739_1","cell",9168,3557,0.18542757417103,"t1","9","9"
"cell_740_1","cell",9162,3840,0.316524776249727,"t1","9","9"
"cell_741_1","cell",9152,3660,0.0546328671328671,"t1","11","11"
"cell_742_1","cell",9147,3834,0.382639116650268,"t1","2","2"
"cell_743_1","cell",9140,3121,0.897155361050328,"t1","0","0"
"cell_744_1","cell",9140,3678,0.339168490153173,"t1","0","0"
"cell_745_1","cell",9137,3798,0.591003611688738,"t1","7","7"
"cell_746_1","cell",9131,3506,0.120468732887964,"t1","0","0"
"cell_747_1","cell",9133,3603,0.098543742472353,"t1","1","1"
"cell_748_1","cell",9125,3802,0.317808219178082,"t1","1","1"
"cell_749_1","cell",9122,3224,0.635825476869108,"t1","4","4"
"cell_750_1","cell",9122,3601,0.18636263977198,"t1","12","12"
"cell_751_1","cell",9099,3571,1.12100230794593,"t1","1","1"
"cell_752_1","cell",9088,3651,0.253080985915493,"t1","2","2"
"cell_753_1","cell",9084,3694,0.0880669308674593,"t1","14","14"
"cell_754_1","cell",9063,3725,0.11033873993159,"t1","11","11"
"cell_755_1","cell",9051,3900,0.651861672743343,"t1","8","8"
"cell_756_1","cell",9047,3773,0.641096496076047,"t1","1","1"
"cell_757_1","cell",9046,3862,0.187928366128676,"t1","1","1"
"cell_758_1","cell",9036,3597,0.852146967684816,"t1","2","2"
"cell_759_1","cell",9033,3474,0.40960921067198,"t1","1","1"
"cell_760_1","cell",9033,3855,0.80814790213661,"t1","1","1"
"cell_761_1","cell",9029,3665,0.232583896334035,"t1","6","6"
"cell_762_1","cell",9018,3508,0.155245065424706,"t1","0","0"
"cell_763_1","cell",9016,3603,0.410381543921917,"t1","2","2"
"cell_764_1","cell",9017,3801,0.0443606521015859,"t1","1","1"
"cell_765_1","cell",9011,3735,0.0443901897680613,"t1","9","9"
"cell_766_1","cell",8990,3918,0.456062291434928,"t1","2","2"
"cell_767_1","cell",8983,4039,0.556606924190137,"t1","2","2"
"cell_768_1","cell",8966,3644,0.50189605175106,"t1","4","4"
"cell_769_1","cell",8968,3327,0.189562890276539,"t1","1","1"
"cell_770_1","cell",8964,3940,0.290049085229808,"t1","4","4"
"cell_771_1","cell",8967,3834,0.223040035686406,"t1","7","7"
"cell_772_1","cell",8964,3698,0.167336010709505,"t1","2","2"
"cell_773_1","cell",8955,3909,0.446677833612507,"t1","2","2"
"cell_774_1","cell",8931,3554,0.951741126413616,"t1","7","7"
"cell_775_1","cell",8933,3597,0.179111160864211,"t1","9","9"
"cell_776_1","cell",8921,3755,0.100885550947203,"t1","12","12"
"cell_777_1","cell",8917,3309,0.0785017382527756,"t1","14","14"
"cell_778_1","cell",8910,3688,0.785634118967452,"t1","4","4"
"cell_779_1","cell",8907,3672,0.258223868867183,"t1","0","0"
"cell_780_1","cell",8906,3537,0.404221872894678,"t1","1","1"
"cell_781_1","cell",8903,3808,0.213411209704594,"t1","4","4"
"cell_782_1","cell",8895,3811,1.2141652613828,"t1","7","7"
"cell_783_1","cell",8886,3590,0.0675219446320054,"t1","4","4"
"cell_784_1","cell",8846,3588,1.13045444268596,"t1","2","2"
"cell_785_1","cell",8839,3643,0.305464419051929,"t1","9","9"
"cell_786_1","cell",8815,3716,0.771412365286444,"t1","1","1"
"cell_787_1","cell",8815,3501,0.533182076006807,"t1","1","1"
"cell_788_1","cell",8806,3653,0.249829661594367,"t1","1","1"
"cell_789_1","cell",8797,3128,0.159145163123792,"t1","11","11"
"cell_790_1","cell",8792,3943,2.08143767060964,"t1","3","3"
"cell_791_1","cell",8768,3805,0.10264598540146,"t1","3","3"
"cell_792_1","cell",8764,3482,0.53628480146052,"t1","4","4"
"cell_793_1","cell",8760,3891,0.262557077625571,"t1","2","2"
"cell_794_1","cell",8752,3432,0.639853747714808,"t1","1","1"
"cell_795_1","cell",8751,3375,0.548508741858073,"t1","1","1"
"cell_796_1","cell",8743,3747,2.98524533912845,"t1","5","5"
"cell_797_1","cell",8718,3522,1.46822665749025,"t1","3","3"
"cell_798_1","cell",8718,3483,0.206469373709566,"t1","1","1"
"cell_799_1","cell",8712,3389,0.068870523415978,"t1","1","1"
"cell_800_1","cell",8704,3622,0.0919117647058823,"t1","4","4"
"cell_801_1","cell",8694,3746,0.954681389463998,"t1","5","5"
"cell_802_1","cell",8690,3390,0.96662830840046,"t1","1","1"
"cell_803_1","cell",8689,3333,0.598457820232478,"t1","1","1"
"cell_804_1","cell",8679,3587,0.414794331144141,"t1","1","1"
"cell_805_1","cell",8667,3792,0.138456213222568,"t1","1","1"
"cell_806_1","cell",8654,3725,0.658654957245205,"t1","2","2"
"cell_807_1","cell",8652,3740,0.115580212667591,"t1","12","12"
"cell_808_1","cell",8645,3900,0.497397339502603,"t1","2","2"
"cell_809_1","cell",8638,3651,0.370456124102802,"t1","7","7"
"cell_810_1","cell",8632,3657,0.092678405931418,"t1","1","1"
"cell_811_1","cell",8628,3745,0.197032916087158,"t1","0","0"
"cell_812_1","cell",8615,3659,0.858966918165989,"t1","2","2"
"cell_813_1","cell",8607,3814,0.5112118043453,"t1","1","1"
"cell_814_1","cell",8611,3483,0.209034955289746,"t1","4","4"
"cell_815_1","cell",8598,3238,0.0348918353105373,"t1","12","12"
"cell_816_1","cell",8586,3493,0.407640344747263,"t1","1","1"
"cell_817_1","cell",8592,3662,0.186219739292365,"t1","12","12"
"cell_818_1","cell",8580,3720,0.536130536130536,"t1","7","7"
"cell_819_1","cell",8573,3602,0.454916598623586,"t1","1","1"
"cell_820_1","cell",8570,3795,0.303383897316219,"t1","1","1"
"cell_821_1","cell",8543,3320,3.12536579655859,"t1","5","5"
"cell_822_1","cell",8542,3614,1.34628892531023,"t1","2","2"
"cell_823_1","cell",8532,3669,0.351617440225035,"t1","4","4"
"cell_824_1","cell",8535,3550,0.773286467486819,"t1","3","3"
"cell_825_1","cell",8532,3499,0.750117205813408,"t1","4","4"
"cell_826_1","cell",8528,3494,0.457317073170732,"t1","3","3"
"cell_827_1","cell",8523,3557,1.24369353514021,"t1","4","4"
"cell_828_1","cell",8514,3440,0.234907211651398,"t1","11","11"
"cell_829_1","cell",8497,3570,0.96504648699541,"t1","11","11"
"cell_830_1","cell",8499,3586,0.247087892693258,"t1","4","4"
"cell_831_1","cell",8475,4209,0.660766961651917,"t1","2","2"
"cell_832_1","cell",8468,3766,1.9130845536136,"t1","8","8"
"cell_833_1","cell",8472,3398,0.247875354107649,"t1","1","1"
"cell_834_1","cell",8464,3775,0.189035916824197,"t1","2","2"
"cell_835_1","cell",8458,4113,1.22960510759045,"t1","2","2"
"cell_836_1","cell",8459,3889,1.59593332545218,"t1","5","5"
"cell_837_1","cell",8459,3555,0.248256295070339,"t1","1","1"
"cell_838_1","cell",8453,3792,0.0946409558736543,"t1","0","0"
"cell_839_1","cell",8449,3521,0.224878683867913,"t1","5","5"
"cell_840_1","cell",8440,3697,0.0947867298578199,"t1","1","1"
"cell_841_1","cell",8436,3605,0.177809388335704,"t1","1","1"
"cell_842_1","cell",8429,3689,1.02028710404556,"t1","9","9"
"cell_843_1","cell",8431,3511,0.260941762542996,"t1","5","5"
"cell_844_1","cell",8411,3292,0.107002734514326,"t1","4","4"
"cell_845_1","cell",8415,3112,0.202020202020202,"t1","1","1"
"cell_846_1","cell",8414,3545,0.582362728785358,"t1","9","9"
"cell_847_1","cell",8413,3300,0.629977415903958,"t1","12","12"
"cell_848_1","cell",8413,3775,1.15297753476762,"t1","2","2"
"cell_849_1","cell",8413,3615,0.106977297040295,"t1","12","12"
"cell_850_1","cell",8409,3376,1.01082173861339,"t1","5","5"
"cell_851_1","cell",8404,3559,0.559257496430271,"t1","8","8"
"cell_852_1","cell",8404,3768,0.166587339362208,"t1","0","0"
"cell_853_1","cell",8398,3572,0.500119075970469,"t1","9","9"
"cell_854_1","cell",8393,3749,1.0723221732396,"t1","2","2"
"cell_855_1","cell",8386,3425,1.19246362985929,"t1","3","3"
"cell_856_1","cell",8380,3541,0.334128878281623,"t1","4","4"
"cell_857_1","cell",8373,3588,0.0477726024125164,"t1","4","4"
"cell_858_1","cell",8361,3317,1.00466451381414,"t1","14","14"
"cell_859_1","cell",8358,3589,1.44771476429768,"t1","1","1"
"cell_860_1","cell",8354,3831,0.562604740244194,"t1","1","1"
"cell_861_1","cell",8349,3532,0.898311174991017,"t1","5","5"
"cell_862_1","cell",8352,3668,0.119731800766284,"t1","4","4"
"cell_863_1","cell",8342,3474,0.0839127307600096,"t1","1","1"
"cell_864_1","cell",8339,3405,1.1032497901427,"t1","1","1"
"cell_865_1","cell",8338,3764,1.40321420004797,"t1","2","2"
"cell_866_1","cell",8335,3529,0.479904019196161,"t1","4","4"
"cell_867_1","cell",8337,3299,0.587741393786734,"t1","1","1"
"cell_868_1","cell",8337,3389,0.0959577785774259,"t1","1","1"
"cell_869_1","cell",8324,3641,0.55261893320519,"t1","2","2"
"cell_870_1","cell",8319,3788,0.444764995792764,"t1","2","2"
"cell_871_1","cell",8316,3645,0.132275132275132,"t1","12","12"
"cell_872_1","cell",8304,3683,0.903179190751445,"t1","4","4"
"cell_873_1","cell",8304,3443,0.264932562620424,"t1","1","1"
"cell_874_1","cell",8304,3370,0.0722543352601156,"t1","1","1"
"cell_875_1","cell",8296,3507,0.337512054001929,"t1","12","12"
"cell_876_1","cell",8293,3423,0.783793560834439,"t1","3","3"
"cell_877_1","cell",8284,3407,0.808788025108643,"t1","4","4"
"cell_878_1","cell",8278,3715,0.531529354916647,"t1","1","1"
"cell_879_1","cell",8269,3585,0.302334018623776,"t1","9","9"
"cell_880_1","cell",8262,3007,1.21036068748487,"t1","4","4"
"cell_881_1","cell",8265,3942,0.762250453720508,"t1","2","2"
"cell_882_1","cell",8262,3428,0.157346889373033,"t1","9","9"
"cell_883_1","cell",8258,3880,0.569145071445871,"t1","4","4"
"cell_884_1","cell",8257,3470,0.193774978805862,"t1","9","9"
"cell_885_1","cell",8247,3272,0.266763671638171,"t1","12","12"
"cell_886_1","cell",8241,3846,0.012134449702706,"t1","1","1"
"cell_887_1","cell",8235,3992,1.45719489981785,"t1","2","2"
"cell_888_1","cell",8231,3519,0.121491920787268,"t1","1","1"
"cell_889_1","cell",8224,3156,0.14591439688716,"t1","1","1"
"cell_890_1","cell",8203,3602,0.377910520541265,"t1","13","13"
"cell_891_1","cell",8200,3217,1.07317073170732,"t1","12","12"
"cell_892_1","cell",8192,3530,0.42724609375,"t1","9","9"
"cell_893_1","cell",8188,3256,0.964826575476307,"t1","1","1"
"cell_894_1","cell",8184,3213,0.219941348973607,"t1","4","4"
"cell_895_1","cell",8179,3417,0.158943636141338,"t1","1","1"
"cell_896_1","cell",8174,3635,0.636163445069733,"t1","5","5"
"cell_897_1","cell",8161,3462,0.820977821345423,"t1","1","1"
"cell_898_1","cell",8157,3512,0.183891136447223,"t1","4","4"
"cell_899_1","cell",8157,3480,0.441338727473336,"t1","7","7"
"cell_900_1","cell",8126,3742,0.898350972188038,"t1","9","9"
"cell_901_1","cell",8123,3515,0.406253847100825,"t1","1","1"
"cell_902_1","cell",8116,3530,0.123213405618531,"t1","4","4"
"cell_903_1","cell",8114,3387,0.0616218880946512,"t1","1","1"
"cell_904_1","cell",8108,3536,0.949679329057721,"t1","3","3"
"cell_905_1","cell",8102,3603,0.493705257960997,"t1","7","7"
"cell_906_1","cell",8106,3161,0.937577103380212,"t1","1","1"
"cell_907_1","cell",8095,3565,0.679431747992588,"t1","2","2"
"cell_908_1","cell",8076,3586,0.198117880138683,"t1","1","1"
"cell_909_1","cell",8073,3275,0.284900284900285,"t1","1","1"
"cell_910_1","cell",8073,3576,0.383996036169949,"t1","1","1"
"cell_911_1","cell",8064,3635,0.595238095238095,"t1","3","3"
"cell_912_1","cell",8062,3334,1.12875217067725,"t1","1","1"
"cell_913_1","cell",8059,3524,0.992678992430823,"t1","7","7"
"cell_914_1","cell",8058,3258,0.521221146686523,"t1","2","2"
"cell_915_1","cell",8050,3735,0.136645962732919,"t1","2","2"
"cell_916_1","cell",8045,3456,0.397762585456805,"t1","2","2"
